1,2025-11-12,1,1,Wednesday,November,2025,2025-Nov,12,316,45,2025-W45,2025-11-09,46,2025-W46,2025-11-10,Non-Holiday,Weekday
2,2025-11-13,2,1,Thursday,November,2025,2025-Nov,13,317,45,2025-W45,2025-11-09,46,2025-W46,2025-11-10,Non-Holiday,Weekday
3,2025-11-14,3,1,Friday,November,2025,2025-Nov,14,318,45,2025-W45,2025-11-09,46,2025-W46,2025-11-10,Non-Holiday,Weekday
4,2025-11-15,4,1,Saturday,November,2025,2025-Nov,15,319,45,2025-W45,2025-11-09,46,2025-W46,2025-11-10,Non-Holiday,Weekend
5,2025-11-16,5,1,Sunday,November,2025,2025-Nov,16,320,45,2025-W45,2025-11-16,46,2025-W46,2025-11-10,Non-Holiday,Weekend
6,2025-11-17,6,1,Monday,November,2025,2025-Nov,17,321,46,2025-W46,2025-11-16,47,2025-W47,2025-11-17,Non-Holiday,Weekday
7,2025-11-18,7,1,Tuesday,November,2025,2025-Nov,18,322,46,2025-W46,2025-11-16,47,2025-W47,2025-11-17,Non-Holiday,Weekday
8,2025-11-19,8,1,Wednesday,November,2025,2025-Nov,19,323,46,2025-W46,2025-11-16,47,2025-W47,2025-11-17,Non-Holiday,Weekday
9,2025-11-20,9,1,Thursday,November,2025,2025-Nov,20,324,46,2025-W46,2025-11-16,47,2025-W47,2025-11-17,Non-Holiday,Weekday
10,2025-11-21,10,1,Friday,November,2025,2025-Nov,21,325,46,2025-W46,2025-11-16,47,2025-W47,2025-11-17,Non-Holiday,Weekday
11,2025-11-22,11,1,Saturday,November,2025,2025-Nov,22,326,46,2025-W46,2025-11-16,47,2025-W47,2025-11-17,Non-Holiday,Weekend
12,2025-11-23,12,1,Sunday,November,2025,2025-Nov,23,327,46,2025-W46,2025-11-23,47,2025-W47,2025-11-17,Non-Holiday,Weekend
13,2025-11-24,13,1,Monday,November,2025,2025-Nov,24,328,47,2025-W47,2025-11-23,48,2025-W48,2025-11-24,Non-Holiday,Weekday
14,2025-11-25,14,1,Tuesday,November,2025,2025-Nov,25,329,47,2025-W47,2025-11-23,48,2025-W48,2025-11-24,Non-Holiday,Weekday
15,2025-11-26,15,1,Wednesday,November,2025,2025-Nov,26,330,47,2025-W47,2025-11-23,48,2025-W48,2025-11-24,Non-Holiday,Weekday
16,2025-11-27,16,1,Thursday,November,2025,2025-Nov,27,331,47,2025-W47,2025-11-23,48,2025-W48,2025-11-24,Non-Holiday,Weekday
17,2025-11-28,17,1,Friday,November,2025,2025-Nov,28,332,47,2025-W47,2025-11-23,48,2025-W48,2025-11-24,Non-Holiday,Weekday
18,2025-11-29,18,1,Saturday,November,2025,2025-Nov,29,333,47,2025-W47,2025-11-23,48,2025-W48,2025-11-24,Non-Holiday,Weekend
19,2025-11-30,19,1,Sunday,November,2025,2025-Nov,30,334,47,2025-W47,2025-11-30,48,2025-W48,2025-11-24,Non-Holiday,Weekend
20,2025-12-01,20,1,Monday,December,2025,2025-Dec,1,335,48,2025-W48,2025-11-30,49,2025-W49,2025-12-01,Non-Holiday,Weekday
21,2025-12-02,21,1,Tuesday,December,2025,2025-Dec,2,336,48,2025-W48,2025-11-30,49,2025-W49,2025-12-01,Non-Holiday,Weekday
